"","date","views"
"1",2015-10-01,5977
"2",2015-10-02,4584
"3",2015-10-03,2283
"4",2015-10-04,2868
"5",2015-10-05,5492
"6",2015-10-06,6191
"7",2015-10-07,5666
"8",2015-10-08,5296
"9",2015-10-09,3687
"10",2015-10-10,1728
"11",2015-10-11,1701
"12",2015-10-12,2912
"13",2015-10-13,4566
"14",2015-10-14,4831
"15",2015-10-15,4319
"16",2015-10-16,3443
"17",2015-10-17,2437
"18",2015-10-18,3096
"19",2015-10-19,6719
"20",2015-10-20,7126
"21",2015-10-21,7298
"22",2015-10-22,6893
"23",2015-10-23,5228
"24",2015-10-24,3492
"25",2015-10-25,4329
"26",2015-10-26,7103
"27",2015-10-27,7302
"28",2015-10-28,7591
"29",2015-10-29,5873
"30",2015-10-30,3711
"31",2015-10-31,2144
"32",2015-11-01,2217
"33",2015-11-02,4775
"34",2015-11-03,7499
"35",2015-11-04,8075
"36",2015-11-05,7830
"37",2015-11-06,5210
"38",2015-11-07,3243
"39",2015-11-08,4621
"40",2015-11-09,8416
"41",2015-11-10,8923
"42",2015-11-11,8502
"43",2015-11-12,8166
"44",2015-11-13,5557
"45",2015-11-14,3107
"46",2015-11-15,4431
"47",2015-11-16,8238
"48",2015-11-17,9936
"49",2015-11-18,8023
"50",2015-11-19,6717
"51",2015-11-20,4284
"52",2015-11-21,2866
"53",2015-11-22,4201
"54",2015-11-23,7662
"55",2015-11-24,8248
"56",2015-11-25,7616
"57",2015-11-26,7310
"58",2015-11-27,4553
"59",2015-11-28,2482
"60",2015-11-29,3677
"61",2015-11-30,7127
"62",2015-12-01,7070
"63",2015-12-02,6544
"64",2015-12-03,6336
"65",2015-12-04,4459
"66",2015-12-05,2153
"67",2015-12-06,2641
"68",2015-12-07,4675
"69",2015-12-08,4394
"70",2015-12-09,5156
"71",2015-12-10,4880
"72",2015-12-11,3464
"73",2015-12-12,2155
"74",2015-12-13,3033
"75",2015-12-14,4902
"76",2015-12-15,4076
"77",2015-12-16,3649
"78",2015-12-17,2925
"79",2015-12-18,1887
"80",2015-12-19,981
"81",2015-12-20,1001
"82",2015-12-21,1516
"83",2015-12-22,1213
"84",2015-12-23,873
"85",2015-12-24,466
"86",2015-12-25,520
"87",2015-12-26,674
"88",2015-12-27,794
"89",2015-12-28,1082
"90",2015-12-29,1004
"91",2015-12-30,863
"92",2015-12-31,506
"93",2016-01-01,531
"94",2016-01-02,728
"95",2016-01-03,1157
"96",2016-01-04,1289
"97",2016-01-05,1606
"98",2016-01-06,1364
"99",2016-01-07,1374
"100",2016-01-08,1415
"101",2016-01-09,1127
"102",2016-01-10,1145
"103",2016-01-11,1670
"104",2016-01-12,1736
"105",2016-01-13,1776
"106",2016-01-14,1994
"107",2016-01-15,1757
"108",2016-01-16,1713
"109",2016-01-17,1238
"110",2016-01-18,1567
"111",2016-01-19,1497
"112",2016-01-20,1563
"113",2016-01-21,1700
"114",2016-01-22,1858
"115",2016-01-23,4685
"116",2016-01-24,996
"117",2016-01-25,1567
"118",2016-01-26,1633
"119",2016-01-27,1846
"120",2016-01-28,1581
"121",2016-01-29,1294
"122",2016-01-30,870
"123",2016-01-31,1063
"124",2016-02-01,2815
"125",2016-02-02,2126
"126",2016-02-03,2199
"127",2016-02-04,1815
"128",2016-02-05,1330
"129",2016-02-06,621
"130",2016-02-07,587
"131",2016-02-08,901
"132",2016-02-09,1064
"133",2016-02-10,1755
"134",2016-02-11,2082
"135",2016-02-12,1671
"136",2016-02-13,1199
"137",2016-02-14,1815
"138",2016-02-15,2727
"139",2016-02-16,3139
"140",2016-02-17,3332
"141",2016-02-18,3169
"142",2016-02-19,2439
"143",2016-02-20,1797
"144",2016-02-21,20723
"145",2016-02-22,3397
"146",2016-02-23,4034
"147",2016-02-24,4555
"148",2016-02-25,4260
"149",2016-02-26,3215
"150",2016-02-27,2452
"151",2016-02-28,3356
"152",2016-02-29,4716
"153",2016-03-01,5293
"154",2016-03-02,5572
"155",2016-03-03,5091
"156",2016-03-04,4093
"157",2016-03-05,3062
"158",2016-03-06,4616
"159",2016-03-07,5910
"160",2016-03-08,5643
"161",2016-03-09,6100
"162",2016-03-10,5625
"163",2016-03-11,4215
"164",2016-03-12,2758
"165",2016-03-13,3924
"166",2016-03-14,5858
"167",2016-03-15,6232
"168",2016-03-16,6336
"169",2016-03-17,5946
"170",2016-03-18,4437
"171",2016-03-19,3529
"172",2016-03-20,4081
"173",2016-03-21,6219
"174",2016-03-22,5921
"175",2016-03-23,4930
"176",2016-03-24,2980
"177",2016-03-25,2294
"178",2016-03-26,2899
"179",2016-03-27,3654
"180",2016-03-28,6128
"181",2016-03-29,6927
"182",2016-03-30,6679
"183",2016-03-31,5732
"184",2016-04-01,4528
"185",2016-04-02,2890
"186",2016-04-03,4240
"187",2016-04-04,6223
"188",2016-04-05,6623
"189",2016-04-06,6436
"190",2016-04-07,6330
"191",2016-04-08,4428
"192",2016-04-09,2937
"193",2016-04-10,4000
"194",2016-04-11,7137
"195",2016-04-12,7102
"196",2016-04-13,7007
"197",2016-04-14,6769
"198",2016-04-15,4383
"199",2016-04-16,2564
"200",2016-04-17,3754
"201",2016-04-18,5723
"202",2016-04-19,5844
"203",2016-04-20,4798
"204",2016-04-21,3196
"205",2016-04-22,3954
"206",2016-04-23,2622
"207",2016-04-24,3167
"208",2016-04-25,7617
"209",2016-04-26,7551
"210",2016-04-27,6540
"211",2016-04-28,6117
"212",2016-04-29,4514
"213",2016-04-30,2513
"214",2016-05-01,3463
"215",2016-05-02,5786
"216",2016-05-03,6141
"217",2016-05-04,6079
"218",2016-05-05,5980
"219",2016-05-06,4280
"220",2016-05-07,2618
"221",2016-05-08,2956
"222",2016-05-09,6011
"223",2016-05-10,6414
"224",2016-05-11,6729
"225",2016-05-12,6330
"226",2016-05-13,5321
"227",2016-05-14,8361
"228",2016-05-15,8112
"229",2016-05-16,8466
"230",2016-05-17,7933
"231",2016-05-18,8393
"232",2016-05-19,7740
"233",2016-05-20,5668
"234",2016-05-21,3862
"235",2016-05-22,4724
"236",2016-05-23,8405
"237",2016-05-24,8394
"238",2016-05-25,6118
"239",2016-05-26,4383
"240",2016-05-27,4500
"241",2016-05-28,3741
"242",2016-05-29,5443
"243",2016-05-30,10498
"244",2016-05-31,9351
"245",2016-06-01,9363
"246",2016-06-02,21957
"247",2016-06-03,6742
"248",2016-06-04,3992
"249",2016-06-05,5476
"250",2016-06-06,9049
"251",2016-06-07,8235
"252",2016-06-08,8429
"253",2016-06-09,11120
"254",2016-06-10,4956
