date,views,cops
2021-09-30,4379,0
2021-10-01,3327,0
2021-10-02,2355,0
2021-10-03,2712,0
2021-10-04,3639,0
2021-10-05,4114,0
2021-10-06,4127,0
2021-10-07,3797,0
2021-10-08,2737,0
2021-10-09,1832,0
2021-10-10,1991,0
2021-10-11,2576,0
2021-10-12,2638,0
2021-10-31,3026,1
2021-11-01,5743,1
2021-11-02,4455,1
2021-11-03,4325,1
2021-11-04,4414,1
2021-11-05,3595,1
2021-11-06,2064,1
2021-11-07,2514,1
2021-11-08,4583,1
2021-11-09,4544,1
2021-11-10,4511,1
2021-11-11,4240,1
2021-11-12,3253,1
2022-10-06,3644,0
2022-10-07,3395,0
2022-10-08,2924,0
2022-10-09,3403,0
2022-10-10,3928,0
2022-10-11,4209,0
2022-10-12,3721,0
2022-10-13,3383,0
2022-10-14,2963,0
2022-10-15,2921,0
2022-10-16,3217,0
2022-10-17,4240,0
2022-10-18,4417,0
2022-10-19,4282,0
2022-10-20,5072,0
2022-11-06,3956,1
2022-11-07,4459,1
2022-11-08,5622,1
2022-11-09,5715,1
2022-11-10,4572,1
2022-11-11,4044,1
2022-11-12,3868,1
2022-11-13,4063,1
2022-11-14,3527,1
2022-11-15,4645,1
2022-11-16,4825,1
2022-11-17,5165,1
2022-11-18,4080,1
2022-11-19,3490,1
2022-11-20,3946,1
2023-10-31,1771,0
2023-11-01,1567,0
2023-11-02,1127,0
2023-11-03,1245,0
2023-11-04,1058,0
2023-11-05,1169,0
2023-11-06,1804,0
2023-11-07,2106,0
2023-11-08,2305,0
2023-11-09,2282,0
2023-11-10,1759,0
2023-11-11,1037,0
2023-11-12,1404,0
2023-11-13,2405,0
2023-11-14,2390,0
2023-11-15,2032,0
2023-11-16,2345,0
2023-11-17,1871,0
2023-11-18,1531,0
2023-11-19,1725,0
2023-11-20,2368,0
2023-11-21,2501,0
2023-11-22,2604,0
2023-11-23,2246,0
2023-11-24,1740,0
2023-11-25,1121,0
2023-11-26,1355,0
2023-11-27,2224,0
2023-11-28,2091,0
2023-11-29,2143,0
2023-11-30,2545,1
2023-12-01,1945,1
2023-12-02,1086,1
2023-12-03,1071,1
2023-12-04,1685,1
2023-12-05,1691,1
2023-12-06,1730,1
2023-12-07,1559,1
2023-12-08,1003,1
2023-12-09,863,1
2023-12-10,924,1
2023-12-11,1631,1
2023-12-12,1641,1
2023-12-13,1637,1
