date,views,ipccs
2021-07-09,2096,0
2021-07-10,1215,0
2021-07-11,1396,0
2021-07-12,2312,0
2021-07-13,2187,0
2021-07-14,2149,0
2021-07-15,2087,0
2021-07-16,1832,0
2021-08-09,4572,1
2021-08-10,5464,1
2021-08-11,4190,1
2021-08-12,4363,1
2021-08-13,3706,1
2021-08-14,2409,1
2021-08-15,2299,1
2021-08-16,3833,1
2022-01-30,1519,0
2022-02-01,1608,0
2022-02-02,1553,0
2022-02-03,1578,0
2022-02-04,1307,0
2022-02-05,822,0
2022-02-06,1004,0
2022-02-07,1618,0
2022-02-28,1348,1
2022-03-01,1519,1
2022-03-02,1963,1
2022-03-03,2192,1
2022-03-04,1783,1
2022-03-05,1290,1
2022-03-06,1540,1
2022-03-07,2363,1
2022-03-08,2264,0
2022-03-09,2558,0
2022-03-10,2680,0
2022-03-11,2081,0
2022-03-12,1510,0
2022-03-13,1908,0
2022-03-14,2969,0
2022-03-15,3222,0
2022-04-04,2838,1
2022-04-05,2989,1
2022-04-06,2892,1
2022-04-07,2902,1
2022-04-08,2272,1
2022-04-09,1234,1
2022-04-10,1625,1
2022-04-11,2303,1
