date,views,news
2020-08-05,3628,0
2020-08-06,3465,0
2020-08-07,3061,0
2020-08-08,1455,0
2020-08-09,1248,0
2020-08-10,3354,0
2020-08-11,3747,0
2020-08-12,4409,0
2020-08-13,3883,0
2020-08-14,3544,0
2020-08-15,1837,0
2020-08-16,1703,0
2020-08-17,3779,0
2020-08-18,4127,0
2020-09-05,1721,1
2020-09-06,1433,1
2020-09-07,2340,1
2020-09-08,3854,1
2020-09-09,4123,1
2020-09-10,4060,1
2020-09-11,3646,1
2020-09-12,1989,1
2020-09-13,2010,1
2020-09-14,4309,1
2020-09-15,4754,1
2020-09-16,4691,1
2020-09-17,4648,1
2020-09-18,4139,1
2021-07-27,2292,0
2021-07-28,3000,0
2021-07-29,3172,0
2021-07-30,2644,0
2021-07-31,1711,0
2021-08-01,2206,0
2021-08-02,2693,0
2021-08-03,2793,0
2021-08-04,3081,0
2021-08-05,2882,0
2021-08-27,3401,1
2021-08-28,2003,1
2021-08-29,2015,1
2021-08-30,3678,1
2021-08-31,3924,1
2021-09-01,4102,1
2021-09-02,3586,1
2021-09-03,3257,1
2021-09-04,1903,1
2021-09-05,1733,1
2022-11-22,3157,0
2022-11-23,3007,0
2022-11-24,2206,0
2022-11-25,2159,0
2022-11-26,1202,0
2022-11-27,1535,0
2022-11-28,2124,0
2022-11-29,2834,0
2022-12-22,764,1
2022-12-23,565,1
2022-12-24,419,1
2022-12-25,419,1
2022-12-26,825,1
2022-12-27,878,1
2022-12-28,834,1
2022-12-29,776,1
2023-08-03,1249,0
2023-08-04,1116,0
2023-08-05,713,0
2023-08-06,816,0
2023-08-07,1338,0
2023-08-08,1542,0
2023-08-09,1584,0
2023-08-10,1630,0
2023-08-11,1175,0
2023-08-12,685,0
2023-08-13,839,0
2023-08-14,1301,0
2023-08-15,1573,0
2023-09-03,945,1
2023-09-04,1370,1
2023-09-05,1451,1
2023-09-06,1339,1
2023-09-07,904,1
2023-09-08,1203,1
2023-09-09,885,1
2023-09-10,1025,1
2023-09-11,1542,1
2023-09-12,1774,1
2023-09-13,1658,1
2023-09-14,1679,1
2023-09-15,1403,1
2024-04-02,2675,0
2024-04-03,2698,0
2024-04-04,2644,0
2024-04-05,2215,0
2024-04-06,1203,0
2024-04-07,1527,0
2024-04-08,2578,0
2024-04-09,2929,0
2024-04-10,2790,0
2024-04-11,2557,0
2024-04-12,2126,0
2024-05-02,2458,1
2024-05-03,2227,1
2024-05-04,1319,1
2024-05-05,1634,1
2024-05-06,3270,1
2024-05-07,3733,1
2024-05-08,3778,1
2024-05-09,3741,1
2024-05-10,3023,1
2024-05-11,1934,1
2024-05-12,1910,1
